Epoch,perm_data,perm_sim
1,0.4469783,0.44693366
2,0.44611874,0.44596007
3,0.44479963,0.4444347
4,0.44293866,0.4422546
5,0.44091034,0.44031408
6,0.43922964,0.4393287
7,0.43816203,0.43863118
8,0.43748477,0.43817738
9,0.4369834,0.43771988
10,0.43655467,0.43731207
11,0.43614966,0.43700114
12,0.4357361,0.43673146
13,0.43530816,0.4364683
14,0.43485904,0.43625814
15,0.43438995,0.4360262
16,0.43387845,0.4358459
17,0.43334013,0.43566486
18,0.43277013,0.43546683
19,0.43216562,0.43528885
20,0.43156254,0.43507797
21,0.4309367,0.43489027
22,0.4303318,0.43467698
23,0.42976314,0.4344318
24,0.42924646,0.43417788
25,0.4287977,0.43391117
26,0.4284125,0.43362287
27,0.42807037,0.43331206
28,0.42777896,0.43298402
29,0.42751417,0.43263572
30,0.42728147,0.43227547
31,0.42706728,0.43187732
32,0.4268721,0.43144745
33,0.42668417,0.43102744
34,0.42652145,0.43062973
35,0.42635313,0.43022966
36,0.4261977,0.42982763
37,0.42605057,0.42946437
38,0.4258972,0.42909926
39,0.42575812,0.4287703
40,0.42561767,0.42846075
41,0.42547768,0.42817998
42,0.4253408,0.42792994
43,0.42520884,0.4277047
44,0.4250642,0.42748645
45,0.4249295,0.42729723
46,0.42479673,0.4271384
47,0.42464757,0.4269669
48,0.42449844,0.4268293
49,0.42434865,0.42669207
50,0.42419928,0.42657205
51,0.42404488,0.42645136
52,0.4238741,0.42633647
53,0.4237109,0.42623734
54,0.42352676,0.4261332
55,0.42334002,0.42603752
56,0.4231383,0.42593756
57,0.42293987,0.4258508
58,0.4227189,0.42574665
59,0.4225017,0.42566186
60,0.42226732,0.425573
61,0.42203188,0.42549387
62,0.4217624,0.425393
63,0.42150465,0.42531356
64,0.42123157,0.42522705
65,0.4209457,0.42514193
66,0.4206534,0.42505422
67,0.42036635,0.42497513
68,0.42005426,0.42488596
69,0.4197568,0.42480308
70,0.41945645,0.4247142
71,0.4191542,0.42462263
72,0.41885138,0.42453197
73,0.41856542,0.42444718
74,0.41827196,0.42434803
75,0.4179984,0.42425403
76,0.41772175,0.42414308
77,0.41745144,0.4240449
78,0.41720676,0.42394054
79,0.41694486,0.42382252
80,0.41670477,0.42370835
81,0.41645387,0.423581
82,0.41623554,0.42346096
83,0.41599172,0.42331997
84,0.41578403,0.4231902
85,0.4155563,0.42304254
86,0.4153381,0.4228874
87,0.415123,0.42273107
88,0.41490144,0.4225559
89,0.41468292,0.42238063
90,0.4144761,0.4221973
91,0.41424546,0.42199805
92,0.41403764,0.4218046
93,0.4138155,0.4215893
94,0.41359565,0.42138115
95,0.413377,0.42114964
96,0.41316625,0.42090935
97,0.41294363,0.42067033
98,0.41273385,0.42042118
99,0.41250366,0.42015615
100,0.4122741,0.4198889
101,0.41205615,0.41961178
102,0.41182774,0.41934454
103,0.41162273,0.41907865
104,0.4113928,0.41880792
105,0.4111779,0.41853142
106,0.41095385,0.4182642
107,0.41072997,0.41799176
108,0.41052404,0.41774362
109,0.4103117,0.41749054
110,0.41010934,0.41724637
111,0.40988076,0.41699925
112,0.40968066,0.41675693
113,0.40948397,0.41653475
114,0.4092941,0.41631973
115,0.40908763,0.41608983
116,0.40891132,0.41588783
117,0.40872586,0.41566908
118,0.40852407,0.41546294
119,0.4083431,0.4152686
120,0.4081641,0.4150587
121,0.40799624,0.4148671
122,0.40781146,0.41466624
123,0.40764645,0.4144604
124,0.40750673,0.41428593
125,0.4073239,0.41407022
126,0.40716437,0.41387165
127,0.40700942,0.41366345
128,0.40685937,0.4134768
129,0.40671098,0.413268
130,0.40655768,0.41306144
131,0.40642312,0.41286838
132,0.40625364,0.41264698
133,0.40611923,0.41244596
134,0.40596712,0.4122329
135,0.40582418,0.41202387
136,0.4056793,0.4118148
137,0.40553856,0.41162202
138,0.40539715,0.41139716
139,0.40525198,0.411204
140,0.40511796,0.41100538
141,0.40498194,0.41079935
142,0.404838,0.41061786
143,0.40471187,0.4104377
144,0.40456235,0.41023284
145,0.4044281,0.4100505
146,0.4042815,0.40985647
147,0.40414602,0.4096777
148,0.404019,0.4095092
149,0.4038844,0.4093429
150,0.40374416,0.40914908
151,0.4036055,0.40898946
152,0.40347672,0.4088272
153,0.40333405,0.4086577
154,0.40321755,0.4085085
155,0.4030641,0.40833303
156,0.40294886,0.40820646
157,0.40280515,0.40804243
158,0.40267763,0.40789667
159,0.40254015,0.40774044
160,0.40240905,0.40760842
161,0.4022641,0.40745515
162,0.40213418,0.40732437
163,0.40199652,0.40718493
164,0.4018488,0.4070493
165,0.40170813,0.40689498
166,0.40157643,0.40677238
167,0.4014382,0.406631
168,0.40128914,0.4065034
169,0.4011491,0.40637937
170,0.40102217,0.40626085
171,0.40088215,0.4061346
172,0.40071377,0.40599453
173,0.40056863,0.40585813
174,0.40042698,0.40574196
175,0.40027204,0.40561852
176,0.40012425,0.405495
177,0.39996746,0.4053757
178,0.3998277,0.40526512
179,0.3996623,0.40513793
180,0.3995001,0.40500703
181,0.39935228,0.40489691
182,0.39919254,0.404782
183,0.39905196,0.4046743
184,0.398895,0.40457344
185,0.39871415,0.40442517
186,0.39859125,0.40435234
187,0.39841798,0.4042242
188,0.39825192,0.40410483
189,0.39809766,0.40400007
190,0.39794612,0.40388253
191,0.39778915,0.40377286
192,0.39765477,0.40368563
193,0.39751115,0.4035894
194,0.39735007,0.40346786
195,0.39719084,0.40335122
196,0.39705878,0.40325752
197,0.39690194,0.40313897
198,0.396765,0.40303728
199,0.39663458,0.40293786
200,0.3964866,0.402823
201,0.39635512,0.40272176
202,0.39622787,0.4026088
203,0.39610976,0.40250567
204,0.3959711,0.4023885
205,0.39584148,0.4022728
206,0.39573288,0.40217912
207,0.39561322,0.40206295
208,0.3954926,0.40194058
209,0.3953813,0.4018428
210,0.39527774,0.4017225
211,0.39516822,0.40160686
212,0.39506164,0.4014903
213,0.39495173,0.40136215
214,0.39486337,0.40125948
215,0.39476442,0.40114117
216,0.3946624,0.40100813
217,0.3945709,0.40088725
218,0.3944671,0.40076342
219,0.39439195,0.40064552
220,0.39431098,0.4005292
221,0.39420995,0.40038717
222,0.39412296,0.40025452
223,0.39404738,0.40013227
224,0.3939566,0.39999807
225,0.3938706,0.39985296
226,0.3938047,0.39972913
227,0.39372012,0.39959356
228,0.39363948,0.39944977
229,0.39357376,0.39932692
230,0.3935126,0.39918992
231,0.39342663,0.3990428
232,0.39334133,0.3988884
233,0.39328352,0.39876172
234,0.39321652,0.39861158
235,0.3931398,0.398472
236,0.39308077,0.398334
237,0.3930125,0.39819884
238,0.39293605,0.3980479
239,0.3928735,0.3979118
240,0.39282313,0.39778113
241,0.39274406,0.39762598
242,0.39268598,0.397505
243,0.39264014,0.39736357
244,0.39256847,0.3972221
245,0.3924999,0.3970812
246,0.39244458,0.39695793
247,0.39238182,0.39682153
248,0.3923252,0.39668995
249,0.392264,0.3965681
250,0.39220977,0.39644173
251,0.39214867,0.39631295
252,0.3920842,0.39618593
253,0.39203113,0.39607188
254,0.39197743,0.3959501
255,0.39192277,0.39584884
256,0.3918762,0.3957438
257,0.3918076,0.3956264
258,0.39175743,0.3955203
259,0.3917046,0.3954154
260,0.39164487,0.39530218
261,0.39159426,0.39521444
262,0.39154035,0.39512104
263,0.39148587,0.39501777
264,0.39143503,0.39492333
265,0.39137685,0.39483055
266,0.3913354,0.39475042
267,0.39125666,0.3946358
268,0.39122382,0.39456552
269,0.39118174,0.39449137
270,0.39111632,0.39440396
271,0.39107546,0.39433578
272,0.39101142,0.39424098
273,0.39094275,0.3941531
274,0.39091066,0.39409608
275,0.39085802,0.39401996
276,0.39080817,0.39394656
277,0.39075655,0.39388013
278,0.3907047,0.39381474
279,0.3906634,0.39374542
280,0.39060032,0.39368027
281,0.39056543,0.39361638
282,0.39050996,0.39355388
283,0.39045912,0.39348003
284,0.39040807,0.39341542
285,0.39034986,0.39334157
286,0.3903006,0.39328226
287,0.39025456,0.39322636
288,0.3902002,0.3931554
289,0.3901443,0.39309427
290,0.39010462,0.3930338
291,0.3900691,0.3929932
292,0.38999712,0.39290914
293,0.3899589,0.39286456
294,0.3899102,0.39281103
295,0.38983622,0.39272293
296,0.38978812,0.3926662
297,0.38973737,0.39261243
298,0.38967964,0.39254817
299,0.38964218,0.3925003
300,0.38958755,0.3924447
301,0.38951418,0.39236662
302,0.3894817,0.39232513
303,0.38942462,0.39226618
304,0.3893594,0.39220282
305,0.38931316,0.3921614
306,0.38924927,0.39209896
307,0.38919935,0.39205378
308,0.38915965,0.39199814
309,0.3890947,0.3919456
310,0.3890399,0.3918882
311,0.38897228,0.39182737
312,0.38893825,0.3918035
313,0.3888825,0.3917402
314,0.38881055,0.3916819
315,0.38874683,0.39162397
316,0.38870674,0.3915893
317,0.3886382,0.39154005
318,0.3885858,0.3914931
319,0.38852495,0.39143816
320,0.3884694,0.39139625
321,0.38841587,0.39135188
322,0.38833752,0.39129084
323,0.38828963,0.39125073
324,0.3882453,0.3912242
325,0.38815802,0.39115933
326,0.38810283,0.39111188
327,0.38803878,0.39107046
328,0.38797268,0.3910224
329,0.3879205,0.39098147
330,0.38784942,0.390938
331,0.38779226,0.39089763
332,0.38770944,0.3908532
333,0.38765508,0.39081752
334,0.38757855,0.39076483
335,0.38752842,0.39073613
336,0.3874514,0.3906759
337,0.38738135,0.3906364
338,0.38733885,0.39061347
339,0.38723198,0.39054495
340,0.38719025,0.39052415
341,0.38711026,0.39047292
342,0.3870414,0.39043373
343,0.386949,0.39038196
344,0.3868915,0.3903483
345,0.3868098,0.3902959
346,0.38674277,0.39026535
347,0.38668758,0.39023528
348,0.38662958,0.39019817
349,0.386525,0.39014113
350,0.38644725,0.39009652
351,0.38637894,0.3900656
352,0.3863018,0.3900248
353,0.38623682,0.38999155
354,0.38616416,0.38995716
355,0.38610518,0.3899288
356,0.38599348,0.38986784
357,0.38593405,0.38983148
358,0.38584232,0.38979152
359,0.38577163,0.38974568
360,0.38568705,0.3897111
361,0.38560486,0.38966945
362,0.38553885,0.38964295
363,0.38544184,0.38961414
